,eth,code,gsm
0,JAPANESE,GM18956,GSM136441
1,JAPANESE,GM18942,GSM136442
2,JAPANESE,GM18944,GSM136443
3,JAPANESE,GM18945,GSM136444
4,JAPANESE,GM18949,GSM136445
5,JAPANESE,GM18952,GSM136506
6,JAPANESE,GM18943,GSM136507
7,JAPANESE,GM18947,GSM136508
8,JAPANESE,GM18948,GSM136509
9,JAPANESE,GM18953,GSM136510
10,JAPANESE,GM18961,GSM136514
11,JAPANESE,GM18970,GSM136515
12,HAN CHINE,GM18540,GSM136516
13,HAN CHINE,GM18542,GSM136517
14,HAN CHINE,GM18550,GSM136518
15,HAN CHINE,GM18552,GSM136520
16,HAN CHINE,GM18555,GSM136521
17,JAPANESE,GM18959,GSM136522
18,JAPANESE,GM18960,GSM136523
19,JAPANESE,GM18965,GSM136524
20,JAPANESE,GM18966,GSM136528
21,JAPANESE,GM18967,GSM136529
22,JAPANESE,GM18968,GSM136530
23,JAPANESE,GM18971,GSM136531
24,JAPANESE,GM18972,GSM136532
25,JAPANESE,GM18973,GSM136534
26,JAPANESE,GM18974,GSM136535
27,JAPANESE,GM18975,GSM136536
28,JAPANESE,GM18976,GSM136537
29,JAPANESE,GM18978,GSM136538
30,JAPANESE,GM18980,GSM136539
31,JAPANESE,GM18969,GSM136540
32,JAPANESE,GM18987,GSM136541
33,JAPANESE,GM18990,GSM136542
34,JAPANESE,GM18991,GSM136543
35,JAPANESE,GM18992,GSM136544
36,JAPANESE,GM18995,GSM136545
37,JAPANESE,GM19005,GSM136546
38,HAN CHINE,GM18524,GSM136547
39,HAN CHINE,GM18529,GSM136548
40,HAN CHINE,GM18532,GSM136549
41,HAN CHINE,GM18547,GSM136550
42,HAN CHINE,GM18561,GSM136551
43,JAPANESE,GM18994,GSM136552
44,HAN CHINE,GM18526,GSM136553
45,HAN CHINE,GM18537,GSM136555
46,HAN CHINE,GM18593,GSM136556
47,HAN CHINE,GM18603,GSM136557
48,HAN CHINE,GM18605,GSM136558
49,HAN CHINE,GM18545,GSM136559
50,HAN CHINE,GM18558,GSM136563
51,HAN CHINE,GM18563,GSM136564
52,HAN CHINE,GM18566,GSM136565
53,HAN CHINE,GM18577,GSM136566
54,HAN CHINE,GM18582,GSM136567
55,HAN CHINE,GM18592,GSM136568
56,JAPANESE,GM18999,GSM136569
57,JAPANESE,GM19000,GSM136570
58,JAPANESE,GM19003,GSM136571
59,JAPANESE,GM19007,GSM136572
60,HAN CHINE,GM18573,GSM136573
61,HAN CHINE,GM18579,GSM136574
62,HAN CHINE,GM18576,GSM136575
63,JAPANESE,GM18964,GSM136576
64,JAPANESE,GM18981,GSM136577
65,HAN CHINE,GM18622,GSM136658
66,HAN CHINE,GM18594,GSM136659
67,HAN CHINE,GM18611,GSM136660
68,HAN CHINE,GM18564,GSM136661
69,HAN CHINE,GM18612,GSM136662
70,HAN CHINE,GM18621,GSM136663
71,HAN CHINE,GM18623,GSM136664
72,HAN CHINE,GM18624,GSM136665
73,HAN CHINE,GM18632,GSM136666
74,HAN CHINE,GM18635,GSM136667
75,HAN CHINE,GM18636,GSM136668
76,HAN CHINE,GM18637,GSM136669
77,HAN CHINE,GM18620,GSM136670
78,HAN CHINE,GM18562,GSM136671
79,HAN CHINE,GM18570,GSM136672
80,HAN CHINE,GM18608,GSM136673
81,Chinese,GM17733,GSM136674
82,Chinese,GM17734,GSM136675
83,Chinese,GM17735,GSM136676
84,Chinese,GM17736,GSM136677
85,Chinese,GM17737,GSM136705
86,Chinese,GM17738,GSM136706
87,Chinese,GM17739,GSM136707
88,Chinese,GM17740,GSM136708
89,Chinese,GM17742,GSM136709
90,Chinese,GM17741,GSM136710
91,Chinese,GM17743,GSM136711
92,Chinese,GM17744,GSM136712
93,Chinese,GM17745,GSM136713
94,Chinese,GM17746,GSM136714
95,Chinese,GM17747,GSM136715
96,Chinese,GM17749,GSM136716
97,Chinese,GM17752,GSM136717
98,Chinese,GM17753,GSM136718
99,Chinese,GM17754,GSM136719
100,Chinese,GM17755,GSM136720
101,Chinese,GM17756,GSM136721
102,Chinese,GM17757,GSM136722
103,Chinese,GM17759,GSM136723
104,Chinese,GM17761,GSM136724
105,Caucasian,GM11840,GSM136725
106,Caucasian,GM12056,GSM136726
107,Caucasian,GM12264,GSM136727
108,JAPANESE,GM18940,GSM136729
109,Caucasian,GM06985,GSM25349
110,Caucasian,GM06985,GSM25350
111,Caucasian,GM06993,GSM25356
112,Caucasian,GM06993,GSM25357
113,Caucasian,GM06994,GSM25358
114,Caucasian,GM06994,GSM25359
115,Caucasian,GM07000,GSM25360
116,Caucasian,GM07000,GSM25361
117,Caucasian,GM07022,GSM25377
118,Caucasian,GM07022,GSM25378
119,Caucasian,GM07034,GSM25385
120,Caucasian,GM07034,GSM25386
121,Caucasian,GM07055,GSM25399
122,Caucasian,GM07055,GSM25400
123,Caucasian,GM07056,GSM25401
124,Caucasian,GM07056,GSM25402
125,Caucasian,GM07345,GSM25409
126,Caucasian,GM07345,GSM25410
127,Caucasian,GM07357,GSM25426
128,Caucasian,GM07357,GSM25427
129,Caucasian,GM11881,GSM25479
130,Caucasian,GM11881,GSM25480
131,Caucasian,GM11882,GSM25481
132,Caucasian,GM11882,GSM25482
133,Caucasian,GM11992,GSM25524
134,Caucasian,GM11992,GSM25525
135,Caucasian,GM11993,GSM25526
