years,Age group,Cause of death (ICD-10),VALUE
2000,"Total, all ages","Total, all causes of death [A00-Y89]",218062
2001,"Total, all ages","Total, all causes of death [A00-Y89]",219538
2002,"Total, all ages","Total, all causes of death [A00-Y89]",223603
2003,"Total, all ages","Total, all causes of death [A00-Y89]",226169
2004,"Total, all ages","Total, all causes of death [A00-Y89]",226584
2005,"Total, all ages","Total, all causes of death [A00-Y89]",230132
2006,"Total, all ages","Total, all causes of death [A00-Y89]",228079
2007,"Total, all ages","Total, all causes of death [A00-Y89]",235217
2008,"Total, all ages","Total, all causes of death [A00-Y89]",238617
2009,"Total, all ages","Total, all causes of death [A00-Y89]",238418
2010,"Total, all ages","Total, all causes of death [A00-Y89]",240075
2011,"Total, all ages","Total, all causes of death [A00-Y89]",243511
2012,"Total, all ages","Total, all causes of death [A00-Y89]",246596
2013,"Total, all ages","Total, all causes of death [A00-Y89]",252338
2014,"Total, all ages","Total, all causes of death [A00-Y89]",258821
2015,"Total, all ages","Total, all causes of death [A00-Y89]",264333
2016,"Total, all ages","Total, all causes of death [A00-Y89]",267213
2017,"Total, all ages","Total, all causes of death [A00-Y89]",276689
2018,"Total, all ages","Total, all causes of death [A00-Y89]",283706
2000,"Total, all ages",Chapter II: Neoplasms [C00-D48],64111
2001,"Total, all ages",Chapter II: Neoplasms [C00-D48],65205
2002,"Total, all ages",Chapter II: Neoplasms [C00-D48],66591
2003,"Total, all ages",Chapter II: Neoplasms [C00-D48],67423
2004,"Total, all ages",Chapter II: Neoplasms [C00-D48],68322
2005,"Total, all ages",Chapter II: Neoplasms [C00-D48],68790
2006,"Total, all ages",Chapter II: Neoplasms [C00-D48],69222
2007,"Total, all ages",Chapter II: Neoplasms [C00-D48],71024
2008,"Total, all ages",Chapter II: Neoplasms [C00-D48],71948
2009,"Total, all ages",Chapter II: Neoplasms [C00-D48],72584
2010,"Total, all ages",Chapter II: Neoplasms [C00-D48],73233
2011,"Total, all ages",Chapter II: Neoplasms [C00-D48],74172
2012,"Total, all ages",Chapter II: Neoplasms [C00-D48],75830
2013,"Total, all ages",Chapter II: Neoplasms [C00-D48],76643
2014,"Total, all ages",Chapter II: Neoplasms [C00-D48],78520
2015,"Total, all ages",Chapter II: Neoplasms [C00-D48],78580
2016,"Total, all ages",Chapter II: Neoplasms [C00-D48],80713
2017,"Total, all ages",Chapter II: Neoplasms [C00-D48],81465
2018,"Total, all ages",Chapter II: Neoplasms [C00-D48],81285
2000,"Total, all ages",Malignant neoplasms [C00-C97],62672
2001,"Total, all ages",Malignant neoplasms [C00-C97],63774
2002,"Total, all ages",Malignant neoplasms [C00-C97],65103
2003,"Total, all ages",Malignant neoplasms [C00-C97],65990
2004,"Total, all ages",Malignant neoplasms [C00-C97],66947
2005,"Total, all ages",Malignant neoplasms [C00-C97],67343
2006,"Total, all ages",Malignant neoplasms [C00-C97],67807
2007,"Total, all ages",Malignant neoplasms [C00-C97],69595
2008,"Total, all ages",Malignant neoplasms [C00-C97],70558
2009,"Total, all ages",Malignant neoplasms [C00-C97],71125
2010,"Total, all ages",Malignant neoplasms [C00-C97],71882
2011,"Total, all ages",Malignant neoplasms [C00-C97],72736
2012,"Total, all ages",Malignant neoplasms [C00-C97],74361
2013,"Total, all ages",Malignant neoplasms [C00-C97],75112
2014,"Total, all ages",Malignant neoplasms [C00-C97],77059
2015,"Total, all ages",Malignant neoplasms [C00-C97],77054
2016,"Total, all ages",Malignant neoplasms [C00-C97],79084
2017,"Total, all ages",Malignant neoplasms [C00-C97],79844
2018,"Total, all ages",Malignant neoplasms [C00-C97],79536
2000,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",901
2001,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1029
2002,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1088
2003,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1018
2004,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1067
2005,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1053
2006,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1022
2007,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1108
2008,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1105
2009,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1065
2010,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1150
2011,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1192
2012,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1122
2013,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1344
2014,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1373
2015,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1330
2016,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1526
2017,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1463
2018,"Total, all ages","Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1515
2000,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],16542
2001,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],16608
2002,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],17041
2003,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],17276
2004,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],17759
2005,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],18020
2006,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],18020
2007,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],18617
2008,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],18976
2009,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],19018
2010,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],19270
2011,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],19951
2012,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],20311
2013,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],21217
2014,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],21567
2015,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],21631
2016,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],22414
2017,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],22461
2018,"Total, all ages",Malignant neoplasms of digestive organs [C15-C26],22639
