age,years,number
"Age at time of death, 1 to 14 years",2000,127
,2001,146
,2002,125
,2003,114
,2004,133
,2005,116
,2006,121
,2007,131
,2008,115
,2009,119
,2010,112
,2011,107
,2012,93
,2013,134
,2014,116
,2015,131
,2016,130
,2017,106
,2018,115
"Age at time of death, 15 to 24",2000,195
,2001,152
,2002,165
,2003,172
,2004,159
,2005,156
,2006,158
,2007,152
,2008,160
,2009,165
,2010,169
,2011,171
,2012,141
,2013,145
,2014,153
,2015,150
,2016,134
,2017,143
,2018,124
"Age at time of death, 25 to 34 years",2000,408
,2001,395
,2002,357
,2003,347
,2004,358
,2005,346
,2006,339
,2007,330
,2008,362
,2009,337
,2010,373
,2011,332
,2012,387
,2013,368
,2014,390
,2015,408
,2016,347
,2017,369
,2018,364
"Age at time of death, 35 to 44 years",2000,1801
,2001,1747
,2002,1637
,2003,1613
,2004,1606
,2005,1490
,2006,1374
,2007,1380
,2008,1348
,2009,1298
,2010,1197
,2011,1180
,2012,1220
,2013,1128
,2014,1179
,2015,1120
,2016,1169
,2017,1114
,2018,1045
"Age at time of death, 45 to 54 years",2000,5323
,2001,5337
,2002,5360
,2003,5518
,2004,5448
,2005,5418
,2006,5495
,2007,5567
,2008,5570
,2009,5531
,2010,5319
,2011,5332
,2012,5231
,2013,4947
,2014,4760
,2015,4513
,2016,4375
,2017,4271
,2018,3785
"Age at time of death, 55 to 64 years",2000,10239
,2001,10289
,2002,10784
,2003,10974
,2004,11317
,2005,11440
,2006,11574
,2007,12001
,2008,12137
,2009,12123
,2010,12372
,2011,12501
,2012,12889
,2013,12814
,2014,12998
,2015,13227
,2016,13006
,2017,13180
,2018,12869
"Age at time of death, 65 to 74 years",2000,17685
,2001,17721
,2002,17692
,2003,17486
,2004,17451
,2005,17373
,2006,17128
,2007,17556
,2008,17574
,2009,17650
,2010,17831
,2011,18275
,2012,18910
,2013,19660
,2014,20341
,2015,20448
,2016,21256
,2017,21508
,2018,21607
"Age at time of death, 75 to 84 years",2000,18494
,2001,19116
,2002,19747
,2003,20230
,2004,20891
,2005,20973
,2006,21092
,2007,21123
,2008,21548
,2009,21698
,2010,21663
,2011,21554
,2012,21500
,2013,21466
,2014,22076
,2015,21896
,2016,22429
,2017,22518
,2018,22840
"Age at time of death, 85 and over",2000,8389
,2001,8864
,2002,9230
,2003,9529
,2004,9576
,2005,10026
,2006,10516
,2007,11344
,2008,11736
,2009,12194
,2010,12838
,2011,13276
,2012,13975
,2013,14442
,2014,15038
,2015,15154
,2016,16234
,2017,16629
,2018,16782
