"Transaction Date",c11,,bc_victoria,,bc_vancouver,,ab_calgary,,ab_edmonton,,mb_winnipeg,,on_hamilton,,on_toronto,,on_ottawa,,qc_montreal,,qc_quebec_city,,ns_halifax,
,Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count",Index,"Sales Pair Count"
Jul-1990,,,45.97,198,55.36,1189,,,,,62.65,792,,,,,,,59.13,1654,61.71,261,57.04,221
Aug-1990,,,46.19,267,54.67,1586,,,,,62.56,809,,,,,,,58.82,1098,61.79,180,56.98,223
Sep-1990,,,46.30,210,54.48,1405,,,,,62.19,638,,,,,,,58.50,789,61.81,122,56.86,139
Oct-1990,,,45.85,219,54.21,1483,,,,,61.71,578,,,,,,,57.78,928,62.42,160,56.30,110
Nov-1990,,,45.91,277,55.41,1833,,,,,61.14,483,,,,,,,57.48,1054,62.55,151,55.93,129
Dec-1990,,,45.61,223,54.90,1887,,,,,60.91,452,,,,,,,57.50,832,62.71,75,55.46,107
Jan-1991,,,45.79,98,54.37,636,,,,,60.68,277,,,,,,,57.52,701,61.79,86,56.15,88
Feb-1991,,,46.01,158,52.60,1003,,,,,60.96,229,,,,,,,57.41,650,61.65,92,55.76,54
Mar-1991,,,46.19,287,53.07,2114,,,,,60.94,320,,,,,,,57.67,976,61.44,179,56.29,83
Apr-1991,,,46.94,333,54.05,2945,,,,,61.25,438,,,,,,,58.23,1167,62.11,204,56.14,99
May-1991,,,47.58,486,55.02,3322,,,,,61.21,487,,,,,,,58.77,2376,62.16,539,56.77,152
Jun-1991,,,48.64,437,55.81,3116,,,,,61.48,590,,,,,,,58.60,4002,62.37,871,56.91,184
Jul-1991,,,49.56,423,56.60,2755,,,,,61.72,872,,,,,,,58.48,1500,62.49,347,57.44,346
Aug-1991,,,50.08,407,57.33,2536,,,,,61.88,801,,,,,,,57.90,1301,62.05,301,57.67,300
Sep-1991,,,50.55,330,57.87,1903,,,,,61.91,625,,,,,,,57.72,1138,62.14,198,57.32,160
Oct-1991,,,51.00,300,57.81,2223,,,,,61.57,524,,,,,,,57.83,1166,61.65,230,56.65,127
Nov-1991,,,51.90,384,57.94,2186,,,,,61.15,392,,,,,,,58.03,1227,62.25,232,56.82,118
Dec-1991,,,52.57,298,58.25,1636,,,,,61.70,335,,,,,,,57.79,1917,62.34,265,57.17,106
Jan-1992,,,53.31,308,58.82,1981,,,,,61.39,263,,,,,,,57.49,534,62.93,94,57.49,123
Feb-1992,,,53.60,293,59.31,2105,,,,,61.54,236,,,,,,,57.70,755,62.91,156,57.25,63
Mar-1992,,,54.10,352,59.77,3081,,,,,60.82,371,,,,,,,58.21,1956,63.05,287,57.14,94
Apr-1992,,,54.38,465,60.47,3726,,,,,61.27,546,,,,,,,58.52,1711,63.37,272,57.20,132
May-1992,,,54.81,401,60.99,3171,,,,,61.65,597,,,,,,,58.39,2333,63.74,571,57.63,194
Jun-1992,,,54.91,492,61.50,3107,,,,,62.08,808,,,,,,,58.15,4913,64.07,1239,58.26,176
Jul-1992,,,55.38,438,61.83,2961,,,,,62.53,971,,,,,,,57.55,1192,64.06,396,58.59,420
Aug-1992,,,55.67,430,62.34,2806,,,,,62.75,883,,,,,,,57.29,1107,63.61,306,58.75,283
Sep-1992,,,56.29,436,62.72,3117,,,,,62.75,874,,,,,,,57.15,1174,63.37,251,58.96,135
